# BLE fragments with sequence counter and ASCII payload
# Format: source_file | timestamp_ms | seq | total_bytes | payload_after_seq_byte
# Total: 41836 fragments (showing first 5000)

pt30_raw_ble_fragments_active.jsonl | ts=1777060975169 | seq=154 | len=18 | '5,0.9,12053,349\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777060976200 | seq=155 | len=20 | 'Data: 0,3AKJHHDR1RS'
pt30_raw_ble_fragments_active.jsonl | ts=1777060976204 | seq=156 | len=20 | 'UX1166,0,0,563082.0'
pt30_raw_ble_fragments_active.jsonl | ts=1777060976208 | seq=157 | len=20 | '85,0.000,9023.45,0.'
pt30_raw_ble_fragments_active.jsonl | ts=1777060976211 | seq=158 | len=20 | '00,12.86,04/24/26,2'
pt30_raw_ble_fragments_active.jsonl | ts=1777060976214 | seq=159 | len=20 | '0:02:55,35.986625,-'
pt30_raw_ble_fragments_active.jsonl | ts=1777060976218 | seq=160 | len=20 | '85.012397,0,90,9,54'
pt30_raw_ble_fragments_active.jsonl | ts=1777060976221 | seq=161 | len=18 | '5,0.9,12054,349\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777060977203 | seq=162 | len=20 | 'Data: 0,3AKJHHDR1RS'
pt30_raw_ble_fragments_active.jsonl | ts=1777060977206 | seq=163 | len=20 | 'UX1166,0,0,563082.0'
pt30_raw_ble_fragments_active.jsonl | ts=1777060977210 | seq=164 | len=20 | '85,0.000,9023.45,0.'
pt30_raw_ble_fragments_active.jsonl | ts=1777060977214 | seq=165 | len=20 | '00,12.87,04/24/26,2'
pt30_raw_ble_fragments_active.jsonl | ts=1777060977217 | seq=166 | len=20 | '0:02:56,35.986625,-'
pt30_raw_ble_fragments_active.jsonl | ts=1777060977220 | seq=167 | len=20 | '85.012405,0,270,9,5'
pt30_raw_ble_fragments_active.jsonl | ts=1777060977223 | seq=168 | len=19 | '45,0.9,12055,349\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777060978235 | seq=169 | len=20 | 'Data: 0,3AKJHHDR1RS'
pt30_raw_ble_fragments_active.jsonl | ts=1777060978238 | seq=170 | len=20 | 'UX1166,0,0,563082.0'
pt30_raw_ble_fragments_active.jsonl | ts=1777060978241 | seq=171 | len=20 | '85,0.000,9023.45,0.'
pt30_raw_ble_fragments_active.jsonl | ts=1777060978245 | seq=172 | len=20 | '00,12.87,04/24/26,2'
pt30_raw_ble_fragments_active.jsonl | ts=1777060978249 | seq=173 | len=20 | '0:02:57,35.986625,-'
pt30_raw_ble_fragments_active.jsonl | ts=1777060978254 | seq=174 | len=20 | '85.012405,0,270,9,5'
pt30_raw_ble_fragments_active.jsonl | ts=1777060978259 | seq=175 | len=19 | '45,0.9,12056,349\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777060978791 | seq=176 | len=20 | 'Data: 0,3AKJHHDR1RS'
pt30_raw_ble_fragments_active.jsonl | ts=1777060978808 | seq=177 | len=20 | 'UX1166,0,0,563082.0'
pt30_raw_ble_fragments_active.jsonl | ts=1777060978815 | seq=178 | len=12 | '85,0.000,90'
pt30_raw_ble_fragments_active.jsonl | ts=1777060978819 | seq=179 | len=20 | '23.45,0.00,12.87,04'
pt30_raw_ble_fragments_active.jsonl | ts=1777060978823 | seq=180 | len=20 | '/24/26,20:02:58,35.'
pt30_raw_ble_fragments_active.jsonl | ts=1777060978827 | seq=181 | len=20 | '986625,-85.012405,0'
pt30_raw_ble_fragments_active.jsonl | ts=1777060978831 | seq=182 | len=20 | ',270,9,545,1.0,1205'
pt30_raw_ble_fragments_active.jsonl | ts=1777060978834 | seq=183 | len=8 | '7,349\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777060979289 | seq=184 | len=20 | 'Buffer: 0,30591,305'
pt30_raw_ble_fragments_active.jsonl | ts=1777060979295 | seq=185 | len=7 | '92,0\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777060979808 | seq=186 | len=20 | 'Data: 0,3AKJHHDR1RS'
pt30_raw_ble_fragments_active.jsonl | ts=1777060979809 | seq=187 | len=20 | 'UX1166,0,0,563082.0'
pt30_raw_ble_fragments_active.jsonl | ts=1777060979888 | seq=188 | len=20 | '85,0.000,9023.45,0.'
pt30_raw_ble_fragments_active.jsonl | ts=1777060979891 | seq=189 | len=20 | '00,12.86,04/24/26,2'
pt30_raw_ble_fragments_active.jsonl | ts=1777060979895 | seq=190 | len=20 | '0:02:59,35.986625,-'
pt30_raw_ble_fragments_active.jsonl | ts=1777060979901 | seq=191 | len=20 | '85.012405,0,270,9,5'
pt30_raw_ble_fragments_active.jsonl | ts=1777060979905 | seq=192 | len=19 | '45,0.9,12058,349\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777060980847 | seq=193 | len=20 | 'Data: 0,3AKJHHDR1RS'
pt30_raw_ble_fragments_active.jsonl | ts=1777060980850 | seq=194 | len=20 | 'UX1166,0,0,563082.0'
pt30_raw_ble_fragments_active.jsonl | ts=1777060980854 | seq=195 | len=20 | '85,0.000,9023.45,0.'
